Species 1,Species 2,Mole frac species 1,Mole frac species 2,Temp (K),Author,type,Link
CrCl2,NaCl,0.197,0.803,807.808,Seifert,solidus,Solidus_NaCl_Na2CrCl4_Seifert.exp
CrCl2,NaCl,0.299,0.701,807.723,Seifert,solidus,Solidus_NaCl_Na2CrCl4_Seifert.exp
CrCl2,NaCl,0.397,0.603,806.81,Seifert,solidus,Solidus_NaCl_Na2CrCl4_Seifert.exp
CsF,NaF,0.9,0.1,883.07,Deadmore,solidus,Solidus_NaF_CsF_Deadmore.exp
CsF,NaF,0.8,0.2,893.06,Deadmore,solidus,Solidus_NaF_CsF_Deadmore.exp
CsF,NaF,0.8,0.2,883.6,Deadmore,solidus,Solidus_NaF_CsF_Deadmore.exp
CsF,NaF,0.73,0.27,882.55,Deadmore,solidus,Solidus_NaF_CsF_Deadmore.exp
CsF,NaF,0.67,0.33,882.55,Deadmore,solidus,Solidus_NaF_CsF_Deadmore.exp
CsF,NaF,0.6,0.4,882.55,Deadmore,solidus,Solidus_NaF_CsF_Deadmore.exp
CsF,NaF,0.5,0.5,883.07,Deadmore,solidus,Solidus_NaF_CsF_Deadmore.exp
CsF,NaF,0.45,0.55,883.6,Deadmore,solidus,Solidus_NaF_CsF_Deadmore.exp
CsF,NaF,0.38,0.62,883.6,Deadmore,solidus,Solidus_NaF_CsF_Deadmore.exp
CsF,NaF,0.25,0.75,883.07,Deadmore,solidus,Solidus_NaF_CsF_Deadmore.exp
CsF,NaF,0.15,0.85,883.6,Deadmore,solidus,Solidus_NaF_CsF_Deadmore.exp
NaF,SmF3,0.992979597,0.007020403,1271.756499,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.930193738,0.069806262,1235.831075,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.895526887,0.104473113,1200.644182,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.871825237,0.128174763,1185.831528,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.845517141,0.154482859,1156.337111,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.798677059,0.201322941,1086.666951,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.898366779,0.101633221,998.7278781,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.797022533,0.202977467,1004.303744,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.699936992,0.300063008,1007.085727,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.600086353,0.399913647,1006.466186,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.501673791,0.498326209,1003.599324,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.700264498,0.299735502,1083.800088,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.59545708,0.40454292,1135.607488,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.492801679,0.507198321,1134.406483,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.395835128,0.604164872,1128.728286,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.29874732,0.70125268,1031.671416,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.497326694,0.502673306,1312.677911,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.39854923,0.60145077,1335.755602,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.296411719,0.703588281,1397.732669,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.1994531,0.8005469,1391.49046,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.099594528,0.900405472,1391.434932,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.291534267,0.708465733,1444.519489,Fedorov et al. (1999),,researchgate.net/publication/288995420_Phase_diagrams_of_the_NaF-RF3_R_La_Ce_Pr_Nd_Sm_systems
NaF,SmF3,0.679314556,0.320685444,1062.170869,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.566878339,0.433121661,1169.893294,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.495726213,0.504273787,1246.072963,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.466570976,0.533429024,1270.824404,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.442877272,0.557122728,1291.867187,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.348744242,0.651255758,1369.204168,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.297665086,0.702334914,1423.084544,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.351368859,0.648631141,1331.302209,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.29755424,0.70244576,1332.344541,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.567175934,0.432824066,1115.202049,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.680220115,0.319779885,1006.860386,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.572651747,0.427348253,997.7582045,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.501928352,0.498071648,1106.257682,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.488630915,0.511369085,1105.586592,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.466869321,0.533130679,1104.883938,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.454304974,0.545695026,1080.598428,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.355332652,0.644667348,1047.289644,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaF,SmF3,0.30037312,0.69962688,1036.519129,Thoma et al. (1966),,https://pubs.acs.org/doi/epdf/10.1021/ic50041a032?ref=article_openPDF
NaCl,NdCl3,0.032,0.968,813,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.09,0.91,810,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.17,0.83,819,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.277,0.723,809,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.324,0.676,793,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.38,0.62,818,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.5,0.5,706,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.581,0.419,710,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.648,0.352,706,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.729,0.271,710,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.862,0.138,714,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.95,0.05,707,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.277,0.723,711,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.324,0.676,711,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.38,0.62,708,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0,1,1032,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.032,0.968,1028,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.09,0.91,1021,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.17,0.83,993,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.277,0.723,951,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.324,0.676,919,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.38,0.62,877,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.5,0.5,788,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.581,0.419,755,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.729,0.271,874,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.862,0.138,1047,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,0.95,0.05,1079,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
NaCl,NdCl3,1,0,1073,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.371,0.629,717,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.467,0.533,717,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.523,0.477,717,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.578,0.422,717,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.634,0.366,717,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.733,0.267,712,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.765,0.235,717,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.793,0.207,717,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.846,0.154,717,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.896,0.104,717,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.949,0.051,713,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.137,0.863,747,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.178,0.822,743,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.254,0.746,747,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.371,0.629,734,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.467,0.533,747,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.523,0.477,737,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.578,0.422,747,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.634,0.366,747,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.178,0.822,757,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.254,0.746,759,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.371,0.629,755,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.467,0.533,762,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.523,0.477,765,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.578,0.422,760,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.634,0.366,762,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.733,0.267,765,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.765,0.235,762,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.793,0.207,762,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.846,0.154,762,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.896,0.104,762,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.949,0.051,760,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.137,0.863,780,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.178,0.822,780,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.254,0.746,777,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.634,0.366,877,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.733,0.267,879,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.765,0.235,883,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.793,0.207,905,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.846,0.154,894,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.896,0.104,892,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.949,0.051,879,Hosoya et al. (1997),solidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0,1,1032,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.137,0.863,962,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.178,0.822,937,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.254,0.746,877,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.467,0.533,837,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.523,0.477,863,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.578,0.422,885,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.634,0.366,915,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.733,0.267,962,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.765,0.235,966,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.846,0.154,962,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.896,0.104,997,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,0.949,0.051,1019,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
KCl,NdCl3,1,0,1043,Hosoya et al. (1997),liquidus,doi.org/10.1016/S0022-3115(97)00056-1
NaF,SmF3,1,0,1268,Cantor and Ward (1963),liquidus,http://lib3.dss.go.th/fulltext/scan_ebook/j.of_physical_1963_v67_n12.pdf
NaF,SmF3,0.96,0.04,1248,Cantor and Ward (1963),liquidus,http://lib3.dss.go.th/fulltext/scan_ebook/j.of_physical_1963_v67_n12.pdf
NaF,SmF3,0.94,0.06,1234.9,Cantor and Ward (1963),liquidus,http://lib3.dss.go.th/fulltext/scan_ebook/j.of_physical_1963_v67_n12.pdf
NaF,SmF3,0.9372,0.0628,1233.2,Cantor and Ward (1963),liquidus,http://lib3.dss.go.th/fulltext/scan_ebook/j.of_physical_1963_v67_n12.pdf
NaF,SmF3,0.8811,0.1189,1187.1,Cantor and Ward (1963),liquidus,http://lib3.dss.go.th/fulltext/scan_ebook/j.of_physical_1963_v67_n12.pdf
NaF,SmF3,0.8533,0.1467,1159.2,Cantor and Ward (1963),liquidus,http://lib3.dss.go.th/fulltext/scan_ebook/j.of_physical_1963_v67_n12.pdf
NaCl,UCl3,0.996562918,0.003437082,1068.620438,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.902434951,0.097565049,1006.576642,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.802887874,0.197112126,931.5563666,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.705199408,0.294800592,817.6066504,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.604315307,0.395684693,849.6423358,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.504614937,0.495385063,901.5482563,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.403083873,0.596916127,969.269262,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.304595641,0.695404359,1017.525547,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.204300222,0.795699778,1062.132198,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.15174538,0.84825462,1077.541768,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.101602568,0.898397432,1095.789943,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.002537407,0.997462593,1121.742903,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.903905678,0.096094322,788.8150852,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.804268486,0.195731514,788.4095702,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.704026451,0.295973549,788.8150852,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.604388769,0.395611231,788.8150852,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.505361809,0.494638191,783.1378751,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.404522766,0.595477234,777.86618,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.355015652,0.644984348,769.75588,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.202204572,0.797795428,797.3309002,Kraus (1943),,https://www.osti.gov/biblio/12687930
NaCl,UCl3,0.659,0.341,783.85,Rose (2023),,https://publications.anl.gov/anlpubs/2023/06/182815.pdf
NaCl,UCl3,0.974576271,0.025423729,1057.861762,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.946327684,0.053672316,1057.849742,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.897740113,0.102259887,1033.148215,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.849717514,0.150282486,999.9362904,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.787570621,0.212429379,930.9736747,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.779096045,0.220903955,912.6721962,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.593220339,0.406779661,852.5931001,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.574576271,0.425423729,852.1596346,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.568361582,0.431638418,857.263373,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.568926554,0.431073446,906.1997836,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.493220339,0.506779661,899.7845895,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.440677966,0.559322034,906.5707417,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.354237288,0.645762712,922.7041712,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.257062147,0.742937853,922.6628201,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.353672316,0.646327684,994.1932925,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.257062147,0.742937853,1036.705373,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.975141243,0.024858757,777.4364707,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.946327684,0.053672316,783.3816564,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.897175141,0.102824859,783.7862724,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.849717514,0.150282486,782.9150138,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.779096045,0.220903955,792.2466643,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.685875706,0.314124294,767.1006131,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.68700565,0.31299435,786.675562,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.665536723,0.334463277,767.0919582,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.592090395,0.407909605,772.1670874,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.574576271,0.425423729,780.244741,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.568361582,0.431638418,776.8378411,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.493785311,0.506214689,773.4018512,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
NaCl,UCl3,0.441242938,0.558757062,772.102897,Yingling (2022),heating,https://www.proquest.com/docview/2788320501?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses
